ASV_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence
0407968d1d101ac6482fd171bd3e05a0	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II		0.9958312373843319
041500bf191e80678fa9f2a5f93e9332	Eukaryota	 Annelida	 Polychaeta	 Scolecida	 Orbiniidae	 Orbiniidae	 Leitoscoloplos_fragilis	0.9999999950333915
0415ebeefcb52ccd20e4b39d8dce3440	Eukaryota	 Cercozoa	 Thecofilosea	 Cryomonadida	 Protaspidae	 Protaspis	 uncultured_eukaryote	0.9177275580473785
04227c0dadd572d559813eb08d8787c5	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Phyllopharyngea	 Cyrtophoria	 Chlamydonella_irregularis	0.9496726350020787
042d4586a0855697e3f3474688253390	Eukaryota							0.9999999999999909
04317b6fbe2d22451e82e63baed2348c	Eukaryota	 Dinoflagellata	 Dinophyceae					0.9880973540776283
043c8f1f3ba1e3208ea896bcbff12c42	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales	 Duboscquella	 uncultured_eukaryote	0.9990689035848643
044485de5bf8d4ce60d2dbe46e943780	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Phyllopharyngea	 Paracineta	 uncultured_eukaryote	0.9902460023568892
044e91088944e605cc09814f5cd35954	Eukaryota	 Phragmoplastophyta	 Embryophyta	 Pinophyta	 Pinophyta	 Pinophyta		0.9998263727963821
046b9a93998890b3764fde69367a3365	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II	 uncultured_marine	0.9943236321090149
046ded51ee6fc0c2028f6009dd3e1c54	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Oligotrichia			0.9979987597097673
047515340b4212802ba4a1ffa1c87480	Eukaryota	 Arthropoda	 Maxillopoda	 Calanoida	 Calanoida	 Calanoida	 Acartia_hudsonica	1
04788071ecf6fcc965692ddcd74eac9c	Eukaryota	 Cryptophyceae	 Cryptophyceae	 Cryptomonadales	 Cryptomonadales	 Hemiselmis	 Hemiselmis_cryptochromatica	0.9999565486528285
048147572b16e8402f1918ce6a6b5451	Eukaryota	 Chlorophyta	 Mamiellophyceae	 Mamiellophyceae	 Mamiellophyceae	 Dolichomastix	 Dolichomastix_tenuilepis	0.9577932950357559
04a987453c80aecc288274df35e1fc0b	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Oligotrichia	 Strombidium	 Strombidium_capitatum	0.9993969103843453
04af53b4011516ba2a60e412c0317fdd	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Oligohymenophorea	 uncultured	 uncultured_eukaryote	0.9989980212454815
04c8ae0e8802dc501ca7a33a3f404602	Eukaryota	 Ochrophyta	 Chrysophyceae	 uncultured	 uncultured	 uncultured	 uncultured_marine	0.9994525637264103
04ca3d9e33bfc4220f82a464a9acdc74	Eukaryota	 Retaria	 Acantharia	 uncultured	 uncultured	 uncultured	 uncultured_eukaryote	0.999999995
04ce5c4d8f8e077c1f2457ca118644db	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Prostomatea	 Cryptocaryon	 Ciliate_sp.	0.9520947569938921
04e4cf396c51822a0551998c0055ec3e	Eukaryota	 Diatomea	 Mediophyceae	 Mediophyceae	 Mediophyceae	 Chaetoceros	 seawater_metagenome	0.8826809045957077
04ec59f961c009488410fb427d1611fc	Eukaryota	 Dinoflagellata	 Dinophyceae					0.9197546677166824
04edf82ebb1b41f7d6fc6a7f29c0a96f	Eukaryota	 Aphelidea	 Aphelidea	 Aphelidea	 Aphelidea	 uncultured	 uncultured_eukaryote	0.7672526592051507
04f0cb1ab1452479975891c66bbfd7a0	Eukaryota	 Ochrophyta	 MOCH-2	 MOCH-2	 MOCH-2	 MOCH-2	 uncultured_eukaryote	0.9998793975508435
