sampleID	seq_sampleID	Date	transect_no	sample_no	Depth (m)	Location	latitude	longitude	niskin_time	freeze_time	Volume filtered (ml SW)	field_notes	extraction_date	elution_volume	nanodrop_dna	nanodrop_260-230	nanodrop_260-280	COI_16S_18S_PCR_dilutions	COI_16S_18S_qPCR_dilutions	12S_dilutions	16S_spike_copies	16Sin_qPCR_quantity	16S_qPCR_quantity	16SV4V5_seq	16S_DADA2_reads	16S_spike_main_ASV	18S_spike_copies	18S_qPCR_quantity	18SV4_seq	18S_DADA2_reads	18S_spike_main_ASV	12S_qPCR_quantity	12S_DADA2_reads	COI_spike_copies	COI_qPCR_quantity
BBT15-8B	BBT15_8B_2023Nov24_McKayBridge_1m	2023-11-24	15	8	1	McKay bridge	44.67666	-63.6101	10:46	10:54	540	Tanja's out-of-patch/control samples (for OAE incubations)	2024-06-14	100	34.7	2.55	1.92	0.5	0.01	1	500000000	25827	800234	original	23875	68	1000000	230043	original	16382	171	31	9107	10000000	7335
BBT15-BL1	BBT15_Blank1_2023Nov24_CoolerBlank_0m	2023-11-24	15	Blank1	0	Cooler blank 1	N/A	N/A	8:40	8:46	1230	"This transect occurred during a OAE Brucite release day, which added more stations to the survey"	2024-06-14	100	7.9	0.89	1.74	1	0.01	1	500000000	39439	28888	original	5249	798	1000000	3523	original	19157	7934	37	24959	10000000	52
BBT16-1B	BBT16_1B_2023Dec14_Tufts_10m	2023-12-14	16	1	10	Tufts Cove	44.40467	-63.35703	9:19	9:40	850		2024-06-06	100	23.2	1.72	1.95	1	0.01	1	500000000	53691	151532	original	16488	124	1000000	37532	original	22844	584	229	18449	10000000	1676
BBT16-10B	BBT16_10B_2023Dec14_McNabsIsland_1m	2023-12-14	16	10	1	McNabs Island	44.36961	-63.32791	14:39	14:50	780		2024-06-06	100	19.1	2.92	2.05	1	0.01	1	500000000	70428	153859	original	21153	121	1000000	21765	original	13556	470	43	23675	10000000	1217
BBT16-2B	BBT16_2B_2023Dec14_Tufts_1m	2023-12-14	16	2	1	Tufts Cove	44.40467	-63.35703	9:27	9:51	740		2024-06-06	100	30.9	1.09	1.78	0.5	0.01	1	500000000	54109	223633	original	16950	128	1000000	47830	original	52503	1827	109	12388	10000000	2184
BBT16-3B	BBT16_3B_2023Dec14_McKayBridge_26m	2023-12-14	16	3	26	McKay bridge	44.40601	-63.36602	10:06	10:28	1030		2024-06-06	100	20.9	1.37	1.93	1	0.01	1	500000000	45606	280160	original	8511	47	1000000	35548	original	20686	644	440	21285	10000000	2592
BBT16-4B	BBT16_4B_2023Dec14_McKayBridge_1m	2023-12-14	16	4	1	McKay bridge	44.40601	-63.36602	10:11	10:32	850		2024-06-06	100	29.5	1.25	1.85	0.5	0.01	1	500000000	29373	178940	original	10023	53	1000000	22843	original	6114	105	91	N/A	10000000	2313
BBT16-5B	BBT16_5B_2023Dec14_DRDCBarge_42m	2023-12-14	16	5	42	DRDC barge	44.41182	-63.38963	11:33	11:51	930		2024-06-06	100	38.5	0.92	1.74	0.5	0.01	1	500000000	28273	199212	original	12713	44	1000000	54872	original	21324	282	227	34194	10000000	928
BBT16-6B	BBT16_6B_2023Dec14_DRDCBarge_1m	2023-12-14	16	6	1	DRDC barge	44.41182	-63.38963	11:40	12:01	830		2024-06-06	100	33.1	1.67	1.91	0.5	0.01	1	500000000	42348	76133	original	17151	76	1000000	43341	original	34715	667	113	16251	10000000	788
BBT16-7B	BBT16_7B_2023Dec14_SackvilleRiver_15m	2023-12-14	16	7	15	Sackville River	44.43015	-63.40064	12:31	12:50	1000		2024-06-06	100	40.4	1.41	1.88	0.5	0.01	1	500000000	34533	130384	original	11014	47	1000000	43904	original	22696	319	34	28816	10000000	1317
